Gene,Cluster
BAD,-1
DVL2,-1
MGST1,-1
IGF1,-1
BAK1,-1
RAD51,-1
PIK3CB,-1
GNAI3,-1
RASSF1,-1
GLI2,-1
TRAF5,-1
NCOA1,-1
MGST2,-1
TGFB2,-1
RBX1,-1
RPS6KA5,-1
CDK6,-1
GLI3,-1
MAPK8,-1
SUFU,-1
CCDC6,-1
CUL2,-1
RPS6KB1,-1
MAPK10,-1
CCND1,-1
BIRC2,-1
SKP1,-1
TFG,-1
SOS1,-1
ZBTB17,-1
GNA13,-1
CXCR4,-1
POLK,-1
CKS2,-1
CDKN1A,-1
ELK1,-1
MAP2K2,-1
IL13RA1,-1
CASP9,-1
GSTM1,-1
PDGFRA,-1
RALB,-1
CDKN2B,-1
CDKN2A,-1
NOTCH1,-1
GSTO1,-1
FOXO1,-1
BRAF,-1
CASP7,-1
SMAD3,-1
FADD,-1
STAT3,-1
MAP2K1,-1
RAC3,-1
BCL2L1,-1
BCL2,-1
RELA,-1
TRAF6,-1
FZD8,-1
CALML5,-1
RXRA,-1
BCR,-1
TXNRD3,-1
LPAR1,-1
NRAS,-1
GNG10,-1
CEBPA,-1
NCOA4,-1
MSH6,0
JAK1,0
MSH2,0
GNAI2,0
JAK2,0
HDAC2,0
HDAC1,0
TPR,0
HSP90AB1,0
CKS1B,0
GNG2,0
SP1,0
NFKB1,0
GNG12,0
CDK2,0
CUL1,0
BIRC5,0
CAMK2D,0
EP300,0
HSP90AA1,0
MLH1,0
ELOB,0
ADCY7,0
CCNA2,0
FAS,0
SKP2,0
STAT6,0
RXRB,0
GNG7,0
NCOA3,0
CREBBP,0
PLD2,0
ELOC,0
IFNGR1,0
BCL2L11,0
SMAD2,0
GSK3B,0
TRAF4,0
TGFB1,0
KITLG,0
E2F3,0
SMAD4,0
RHOA,0
GNAI1,0
FZD7,0
TRAF2,0
AKT1,0
TP53,0
FGFR2,0
MSH3,0
MECOM,0
CDK4,0
ITGA3,1
LAMB3,1
LAMC2,1
ITGAV,1
MMP1,1
TGFB3,1
DVL3,1
LAMA3,1
FZD1,1
RUNX1,1
ITGB1,1
LEF1,1
KIF7,1
TXNRD2,1
JAG2,1
MET,1
PTGS2,1
AGT,2
KNG1,2
ITGA2B,2
F2,2
FOS,2
MAX,2
GNB5,2
JUN,2
WNT11,2
GNAQ,3
GNA11,3
HSP90B1,3
ADCY9,3
CASP3,3
STAT2,3
CAMK2G,3
STAT1,3
JAK3,3
NFKB2,3
TRAF1,3
PTK2,3
MTOR,3
RALA,3
PLCB4,3
RAC1,3
PML,3
CDC42,3
APC,3
MGST3,3
GSTT2B,3
XIAP,3
SPI1,4
PRKCB,4
PLCB2,4
PIK3CD,4
STAT5A,4
RAC2,4
PRKACB,4
STK4,4
ETS1,4
PLCG2,4
PIK3R1,4
RASSF5,4
STAT4,4
ARHGEF1,4
IKBKG,4
CSF1R,4
IKBKB,4
HMOX1,4
CSF2RA,4
CASP8,4
GRB2,4
ARAF,4
CTBP2,4
RALBP1,4
TGFBR2,5
IL6ST,5
PRKCA,5
PLCB1,5
DAPK1,5
MAPK3,5
GNG11,5
APPL1,5
GNB1,5
LAMB2,5
FGF2,5
GNB2,5
ROCK2,5
DAPK2,5
ZBTB16,5
STAT5B,5
VEGFD,5
GNB4,5
MAPK9,5
CRK,5
RUNX1T1,5
GSTM5,5
IL3RA,5
CXCL12,5
GNAS,5
HGF,5
HIF1A,5
ROCK1,5
TPM3,5
MITF,5
EGLN1,5
BMP2,5
PRKACA,5
HES1,5
DVL1,5
FLT4,5
GNG5,5
ABL1,5
ADCY6,5
RB1,5
AXIN1,5
BRCA2,5
FGFR1,5
RARA,5
TRAF3,5
ARHGEF11,5
RPS6KB2,5
RAF1,5
NFKBIA,5
JUP,6
JAG1,6
CDH1,6
WNT5A,6
FZD6,6
ITGA2,6
KEAP1,6
CDKN1B,6
CALML3,6
PLD1,6
ITGA6,6
KIT,6
IGF1R,6
CTNNA1,6
EGFR,6
WNT7B,6
ADCY3,6
CTNNB1,6
SLC2A1,6
CTBP1,6
GSTA4,6
LAMA1,6
NOTCH3,6
PIK3CA,6
PLCB3,6
VEGFA,6
BAX,6
EML4,6
DDB2,6
ARHGEF12,7
COL4A2,7
COL4A1,7
PDGFRB,7
LAMA4,7
COL4A4,7
LAMC1,7
LAMA5,7
MAPK1,7
COL4A3,7
PTEN,7
DAPK3,7
FN1,7
MMP2,7
GNA12,7
LAMC3,7
LAMB1,7
IL7R,7
LAMA2,7
COL4A5,7
VEGFC,7
WNT2,7
FH,7
FGF1,7
RASGRP4,8
APAF1,8
SOS2,8
CBL,8
MMP9,8
GSTM2,9
GSTM3,9
GSTM4,9
WNT2B,9
TXNRD1,9
