Gene,Cluster
DVL2,-1
RALA,-1
MGST1,-1
BAK1,-1
RAD51,-1
PIK3CB,-1
GNAI3,-1
RASSF1,-1
MGST2,-1
BAX,-1
TGFB2,-1
NFKBIA,-1
GLI3,-1
MAPK8,-1
SUFU,-1
CCDC6,-1
RPS6KB1,-1
MAPK10,-1
BIRC2,-1
VEGFA,-1
SKP1,-1
TFG,-1
SOS1,-1
GNA13,-1
CXCR4,-1
POLK,-1
CKS2,-1
CDKN1A,-1
ELK1,-1
TRAF3,-1
IL13RA1,-1
RARA,-1
RAF1,-1
CASP9,-1
GSTM1,-1
PDGFRA,-1
APC,-1
TP53,-1
EML4,-1
CDKN2B,-1
CDKN2A,-1
NOTCH1,-1
BRAF,-1
BCL2,-1
TRAF6,-1
RPS6KB2,-1
FZD8,-1
JUN,-1
CALML5,-1
TXNRD2,-1
TXNRD3,-1
LPAR1,-1
NRAS,-1
GNG10,-1
NCOA4,-1
JUP,0
CDH1,0
KEAP1,0
APAF1,0
FZD6,0
JAG1,0
RASGRP4,0
WNT5A,0
ITGA2,0
GSTM3,0
PLD1,0
GSTA4,0
CTNNA1,0
CDKN1B,0
GSTM2,0
CALML3,0
WNT7B,0
ADCY3,0
SOS2,0
CBL,0
EGFR,0
ITGA6,0
SLC2A1,0
KIT,0
PIK3CA,0
MMP9,0
GSTM4,0
CTBP1,0
EGLN1,0
CTNNB1,0
BCL2L1,0
MTOR,0
DDB2,0
NOTCH3,0
RPS6KA5,0
TXNRD1,0
RELA,0
FH,0
LAMA1,0
BAD,0
WNT2B,0
PLCB3,0
GLI2,0
SMAD3,0
RXRA,0
BCR,0
TRAF5,0
AXIN1,0
MAP2K2,0
MSH6,1
MSH2,1
HDAC2,1
JAK1,1
CDK2,1
NFKB1,1
TPR,1
CKS1B,1
HSP90AB1,1
CUL1,1
HSP90AA1,1
FAS,1
MLH1,1
CAMK2D,1
BIRC5,1
MAPK1,1
RXRB,1
IKBKG,1
SP1,1
SKP2,1
NCOA3,1
CCNA2,1
GNG12,1
STAT6,1
CREBBP,1
TGFB1,1
CAMK2G,1
IKBKB,1
IFNGR1,1
FZD7,1
DVL1,1
E2F3,1
TRAF4,1
BCL2L11,1
KITLG,1
TRAF2,1
MECOM,1
AKT1,1
RALB,1
PLD2,1
GSTO1,1
CDC42,1
ZBTB17,1
MSH3,1
FOXO1,1
GNAI1,1
COL4A5,1
PDGFRB,2
LAMC2,2
LAMB3,2
FN1,2
ITGAV,2
MMP2,2
ITGA3,2
DAPK3,2
MMP1,2
LAMA3,2
PTEN,2
FZD1,2
TGFB3,2
VEGFC,2
ITGB1,2
RUNX1,2
PTGS2,2
DVL3,2
MET,2
IL7R,2
WNT2,2
LEF1,2
FGF1,2
KIF7,2
JAG2,2
RALBP1,2
IGF1,2
MAP2K1,2
CEBPA,2
CUL2,2
RBX1,2
TGFBR2,3
IL6ST,3
LAMB2,3
MAPK3,3
AGT,3
PLCB1,3
APPL1,3
FGF2,3
KNG1,3
ZBTB16,3
GNG11,3
DAPK2,3
ARHGEF12,3
STAT5B,3
COL4A1,3
VEGFD,3
COL4A2,3
LAMA4,3
MAPK9,3
COL4A4,3
GSTM5,3
F2,3
GNAQ,3
LAMC1,3
ROCK2,3
GNA11,3
CXCL12,3
CRK,3
IL3RA,3
HGF,3
LAMA5,3
HSP90B1,3
ITGA2B,3
BMP2,3
COL4A3,3
HIF1A,3
GNAS,3
CASP3,3
LAMB1,3
ADCY9,3
FLT4,3
PRKACA,3
LAMA2,3
ROCK1,3
LAMC3,3
MAX,3
ADCY6,3
FOS,3
PRKCB,4
SPI1,4
GNAI2,4
PIK3CD,4
JAK2,4
PLCB2,4
STAT5A,4
RAC2,4
ETS1,4
PLCG2,4
STK4,4
GNG2,4
RASSF5,4
PRKACB,4
JAK3,4
STAT4,4
GNG7,4
TRAF1,4
PIK3R1,4
IGF1R,4
ARHGEF1,4
SMAD2,4
ADCY7,4
CSF1R,4
GSK3B,4
SMAD4,4
NFKB2,4
CASP8,4
FGFR2,4
GRB2,4
CSF2RA,4
HMOX1,4
CTBP2,4
ARAF,4
RHOA,4
RAC3,4
STAT3,4
PRKCA,5
DAPK1,5
HDAC1,5
GNB1,5
GNB4,5
GNB2,5
RUNX1T1,5
EP300,5
MITF,5
TPM3,5
HES1,5
GNA12,5
ABL1,5
RB1,5
GNG5,5
CDK4,5
BRCA2,5
GNB5,5
RAC1,5
ARHGEF11,5
MGST3,5
CDK6,5
FGFR1,5
PML,6
STAT1,6
STAT2,6
PLCB4,6
NCOA1,6
GSTT2B,6
WNT11,6
XIAP,6
PTK2,6
CASP7,6
ELOB,7
ELOC,7
CCND1,8
FADD,8
