Gene1,Gene2,PartialCorr_Normal,PartialCorr_Tumor,Difference
BAD,DVL2,0.0,0.0,0.0
BAD,CREBBP,-0.0,-0.0,0.0
BAD,ITGA3,0.0,0.0,0.0
BAD,ITGA2B,0.0,0.0,0.0
BAD,RALA,0.0,0.0,0.0
BAD,MGST1,0.0,0.0,0.0
BAD,IGF1,0.0,-0.0,-0.0
BAD,RALBP1,0.0,0.0,0.0
BAD,HGF,0.0,0.0,0.0
BAD,FAS,0.0,0.0,0.0
BAD,IFNGR1,0.0,0.0,0.0
BAD,BAK1,-0.0,-0.0,0.0
BAD,DAPK2,0.0,0.0,0.0
BAD,FLT4,0.0,0.0,0.0
BAD,CDH1,-0.0,-0.0,0.0
BAD,CTNNA1,0.0,-0.0,-0.0
BAD,TPR,-0.0,-0.0,0.0
BAD,KITLG,0.0,-0.0,-0.0
BAD,LAMC3,0.0,0.0,0.0
BAD,MAPK9,0.0,0.0,0.0
BAD,RAD51,-0.0,-0.0,0.0
BAD,PIK3CB,-0.0,0.0,0.0
BAD,LAMA3,0.0,-0.0,-0.0
BAD,CUL1,-0.0,-0.0,0.0
BAD,TRAF1,-0.0,-0.0,0.0
BAD,LAMC2,-0.0,-0.0,0.0
BAD,CASP8,0.0,0.0,0.0
BAD,GNAI3,-0.0,0.0,0.0
BAD,SPI1,0.0,0.0,0.0
BAD,FGFR2,-0.0,-0.0,0.0
BAD,RHOA,0.0,0.0,0.0
BAD,ROCK1,0.0,0.0,0.0
BAD,RASSF1,0.0,0.0,0.0
BAD,GNB5,0.0,0.0,0.0
BAD,CDC42,0.0,0.0,0.0
BAD,PRKACA,0.0,0.0,0.0
BAD,PTGS2,-0.0,0.0,0.0
BAD,GLI2,-0.0,-0.0,0.0
BAD,NOTCH3,-0.0,-0.0,0.0
BAD,PLD1,-0.0,-0.0,0.0
BAD,MLH1,-0.0,-0.0,0.0
BAD,TRAF4,-0.0,0.0,0.0
BAD,ARHGEF1,0.0,-0.0,-0.0
BAD,NFKB2,-0.0,0.0,0.0
BAD,FGFR1,0.0,0.0,0.0
BAD,ARAF,0.0,0.0,0.0
BAD,GNB1,0.0,0.0,0.0
BAD,RUNX1T1,0.0,0.0,0.0
BAD,KEAP1,-0.0,-0.0,0.0
BAD,HSP90AA1,-0.0,-0.0,0.0
BAD,COL4A4,0.0,0.0,0.0
BAD,TRAF5,-0.0,-0.0,0.0
BAD,GSK3B,-0.0,0.0,0.0
BAD,NCOA1,0.0,0.0,0.0
BAD,MECOM,0.0,0.0,0.0
BAD,WNT11,0.0,0.0,0.0
BAD,MGST2,0.0,-0.0,-0.0
BAD,BAX,0.0,0.0,0.0
BAD,MMP2,0.0,0.0,0.0
BAD,GNAS,0.0,0.0,0.0
BAD,GNA11,0.0,0.0,0.0
BAD,BIRC5,-0.0,-0.0,0.0
BAD,LAMB1,0.0,-0.0,-0.0
BAD,ITGA6,-0.0,-0.0,0.0
BAD,FH,-0.0,-0.0,0.0
BAD,TGFB2,0.0,0.0,0.0
BAD,MSH2,-0.0,-0.0,0.0
BAD,HSP90AB1,-0.0,-0.0,0.0
BAD,JAK2,0.0,0.0,0.0
BAD,ABL1,0.0,0.0,0.0
BAD,MAPK1,0.0,0.0,0.0
BAD,HMOX1,0.0,-0.0,-0.0
BAD,RBX1,-0.0,0.0,0.0
BAD,EP300,-0.0,-0.0,0.0
BAD,SOS2,0.0,0.0,0.0
BAD,HIF1A,-0.0,-0.0,0.0
