Gene,MWD_Normal,MWD_Tumor,Difference,SD_Difference,SD_Normal,SD_Tumor,CV_Normal,CV_Tumor,Gene_Name
PRKCB,0.0,1.6334963366763469,1.6334963366763469,0.26619768153434653,0.0,0.26619768153434653,,0.1629619091010485,protein kinase C beta
MSH2,0.18809068421169012,1.5026372167980258,1.3145465325863357,0.5223499552422489,0.08124715280488663,0.49644986618606657,0.4319573462418029,0.33038571162502756,mutS homolog 2
SPI1,0.012226706854473324,1.3129807923205745,1.3007540854661013,0.4536296385670178,0.041046252144216,0.44874130643194804,3.3570979195594775,0.3417729406679579,Spi-1 proto-oncogene
PIK3CD,0.0,1.287251104922922,1.287251104922922,0.2496680826311255,0.0,0.2496680826311255,,0.19395445199176978,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"
GNAQ,1.8621796902655592,0.6254401867784495,-1.2367395034871098,0.7435798012456285,0.6352593473556793,0.29931384475424705,0.3411375124948802,0.4785650987602327,G protein subunit alpha q
CDH1,0.0030258974556459156,1.217505417215206,1.2144795197595601,0.4431715513261986,0.01753089234543906,0.4473064397032462,5.793617464705813,0.36739585169679817,cadherin 1
MSH6,0.30766425857419066,1.5164755795190594,1.2088113209448688,0.5056982255479834,0.09659650270466187,0.4771986567779489,0.3139672549301609,0.314676123521415,mutS homolog 6
JUP,0.21067086814789696,1.3984284653156416,1.1877575971677445,0.4773466265257919,0.11608546711600695,0.44804830997683714,0.551027620176282,0.32039415750573086,junction plakoglobin
NFKB1,0.002132696163206641,1.1793267383902302,1.1771940422270235,0.5525378718922747,0.009319198202640933,0.552789343804907,4.369679264874252,0.46873298621165765,nuclear factor kappa B subunit 1
LAMB3,0.0,1.155107561923178,1.155107561923178,0.2545115025518774,0.0,0.2545115025518774,,0.22033576001193558,laminin subunit beta 3
LAMC2,0.0,1.1519464418889782,1.1519464418889782,0.2399867576012976,0.0,0.2399867576012976,,0.2083315238230728,
GNAI2,0.12584550378128637,1.2451880265759387,1.1193425227946523,0.3788788874263196,0.09505132361843742,0.3434987888135471,0.7553017053643187,0.2758609796129441,
HDAC2,0.02289574469026735,1.1396294912630502,1.116733746572783,0.6217925134102016,0.04375802722733887,0.6201884939599596,1.911186022524953,0.5442018644784326,
