Gene,Mean_Weighted_Degree,CV,Gene_Name
GNAQ,1.8621796902655592,0.3411375124948802,G protein subunit alpha q
IL6ST,1.5990166700994926,0.20422430486902304,interleukin 6 cytokine family signal transducer
TGFBR2,1.5791038154421002,0.23649687067098593,transforming growth factor beta receptor 2
GNG11,1.57645904004163,0.30675994638110193,G protein subunit gamma 11
PLCB1,1.5695172897809129,0.3365247500574812,phospholipase C beta 1
MAPK3,1.5188647666693476,0.2633008555375556,mitogen-activated protein kinase 3
LAMB2,1.4674256127922922,0.34650551756369197,laminin subunit beta 2
GNA11,1.373241136748195,0.4236031607221647,G protein subunit alpha 11
APPL1,1.329452943874364,0.24636451994134217,"adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1"
COL4A1,1.3095535253866595,0.2801626483286567,collagen type IV alpha 1 chain
ITGA2B,1.1802536596301403,0.5850379392754287,integrin subunit alpha 2b
ZBTB16,1.1611474556039594,0.406235340020154,zinc finger and BTB domain containing 16
FGF2,1.1300829273010442,0.265664336676785,fibroblast growth factor 2
ARHGEF12,1.0685447510152388,0.2934344485606223,Rho guanine nucleotide exchange factor 12
VEGFD,1.040909191074736,0.4039973237360389,vascular endothelial growth factor D
AGT,1.0374629605671915,0.34179371432077693,angiotensinogen
COL4A4,1.0149775584029053,0.3321660345381551,collagen type IV alpha 4 chain
COL4A2,0.9824139477797779,0.36419062819036946,collagen type IV alpha 2 chain
ROCK2,0.9605502139819955,0.2701837666628705,Rho associated coiled-coil containing protein kinase 2
KNG1,0.8350818434117641,0.32816894999897833,kininogen 1
